0.1,0.5,0.9
3.839489,4.3131075,4.6663938
3.8637254,4.1679525,4.520588
3.6213813,3.8786135,4.1610355
3.386934,3.632993,3.8668456
3.2288055,3.4798174,3.69005
3.1521966,3.4127126,3.6201832
3.144614,3.4153273,3.6339724
3.1931436,3.4746823,3.7122357
3.2883236,3.5829563,3.8423557
3.4241912,3.7366443,4.016768
3.5979855,3.9354858,4.231336
3.80948,4.1804085,4.4836683
4.0568867,4.4674206,4.768689
4.3270073,4.776575,5.0702543
4.589099,5.0683804,5.3573866
4.8083677,5.303362,5.596792
4.966083,5.464341,5.7700644
5.0612564,5.5541043,5.875285
5.1000695,5.5816665,5.9178123
5.088028,5.554158,5.902786
5.0273676,5.474691,5.832193
4.9171076,5.342705,5.704644
4.7541485,5.155241,5.516456
4.535257,4.9092164,5.263976
